Segmento,Modelo do Avião,Quantidade entregue,Ano de fabricação,Ano de entrega,Quantidade de Motores,Tamanho do tanque (litros),Peso do avião vazio ,Custo de combustível - AVGAS (pré pandemia),Custo de combustível AVGAS (pós pandemia),Custo de combustível - querosene,Custo de combustível - querosene (póspandemia),Quantidade encomendada,Pedidos Firmes em Carteira,Cliente,Origem,Destino,Distância (km),Autonomia (km),Parada para reabastecer,Frete (pre pandemia - AVGAS) ,Frete (pos pandemia - AVGAS),Frete - QAV,Frete (pos pandemia - QAV),Custo total AVGAs,Custo total QAV,Custo de Transporte (entregas futuras - AVGAS),Custo de Transporte (entregas futuras - QAV)
Aviação Comercial,EMBRAER 170 (E170),1,2002,2003,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 0,84","R$ 4,60",1,0,NAC / Jetscape,São José dos Campos,EUA,8490,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 29.176,82","R$ 160.427,15","R$ 156.939,60","R$ 29.176,82","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),2,2007,2008,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,29","R$ 4,60",2,0,Petro Air,São José dos Campos,Líbia,8736,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 45.139,32","R$ 160.427,15","R$ 313.879,20","R$ 90.278,63","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),10,2010,2011,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,61","R$ 4,60",10,0,Regional,São José dos Campos,França,9108,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 56.198,33","R$ 160.427,15","R$ 1.569.396,02","R$ 561.983,28","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),48,2010,2011,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,61","R$ 4,60",48,0,Republic Airlines,São José dos Campos,EUA,8490,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 56.198,33","R$ 160.427,15","R$ 7.533.100,89","R$ 2.697.519,73","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),1,2018,2019,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",1,0,Satena,São José dos Campos,Colômbia,4362,3982,1,"R$ 104.626,40","R$ 233.385,60","R$ 54.691,71","R$ 106.951,43","R$ 104.626,40","R$ 54.691,71","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),15,2011,2012,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,83","R$ 4,60",15,0,Saudi Arabian Airlines,São José dos Campos,Arábia Saudita,11114,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 63.853,49","R$ 160.427,15","R$ 2.354.094,03","R$ 957.802,39","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),1,2003,2004,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,06","R$ 4,60",1,0,Sirte Oil,São José dos Campos,Líbia,8736,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 37.076,11","R$ 160.427,15","R$ 156.939,60","R$ 37.076,11","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),2,2016,2017,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",2,0,Suzuyo,São José dos Campos,Japão,18506,3982,4,"R$ 261.566,00","R$ 583.464,00","R$ 104.975,16","R$ 267.378,58","R$ 523.132,01","R$ 209.950,31","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),2,2006,2007,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,41","R$ 4,60",2,0,TAME,São José dos Campos,Equador,4212,3982,1,"R$ 104.626,40","R$ 233.385,60","R$ 32.731,79","R$ 106.951,43","R$ 209.252,80","R$ 65.463,58","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),28,2010,2011,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,61","R$ 4,60",28,0,US Airways,São José dos Campos,EUA,8490,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 56.198,33","R$ 160.427,15","R$ 4.394.308,85","R$ 1.573.553,18","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),6,2003,2004,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,06","R$ 4,60",6,0,Virgin Australia,São José dos Campos,Austrália,14613,3982,3,"R$ 209.252,80","R$ 466.771,20","R$ 49.434,81","R$ 213.902,86","R$ 1.255.516,82","R$ 296.608,87","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),15,2008,2009,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,05","R$ 4,60",15,0,Air Canada,São José dos Campos,Canadá,10478,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 36.806,04","R$ 160.770,86","R$ 2.359.137,62","R$ 552.090,63","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),8,2013,2014,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",8,0,Air Lease,São José dos Campos,EUA,8490,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 60.725,95","R$ 160.770,86","R$ 1.258.206,73","R$ 485.807,60","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),0,2013,2014,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",5,5,Air Peace,São José dos Campos,Nigéria,6930,4074,1,"R$ 104.850,56","R$ 240.782,40","R$ 40.483,97","R$ 107.180,57","R$ 0,00","R$ 0,00","R$ 1.203.912,00","R$ 535.902,87"
Aviação Comercial,EMBRAER 175 (E175),2,2022,2023,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",2,0,Alitalia,São José dos Campos,Itália,9397,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 153.738,88","R$ 160.770,86","R$ 722.347,20","R$ 307.477,76","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),101,2011,2012,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,83","R$ 4,60",108,7,American Airlines,São José dos Campos,EUA,8490,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 63.990,30","R$ 160.770,86","R$ 15.884.859,95","R$ 6.463.020,02","R$ 2.528.215,20","R$ 1.125.396,02"
Aviação Comercial,EMBRAER 175 (E175),1,2008,2009,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,05","R$ 4,60",1,0,Belavia,São José dos Campos,Bielorrússia,11066,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 36.806,04","R$ 160.770,86","R$ 157.275,84","R$ 36.806,04","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),4,2014,2015,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",4,0,CIT,São José dos Campos,EUA,8490,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 55.969,23","R$ 160.770,86","R$ 629.103,36","R$ 223.876,92","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),1,2020,2021,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",1,0,ECC Leasing,São José dos Campos,Irlanda,9254,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 129.654,71","R$ 160.770,86","R$ 361.173,60","R$ 129.654,71","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),11,2022,2023,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",11,0,Flybe,São José dos Campos,Reino Unido,9614,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 153.738,88","R$ 160.770,86","R$ 3.972.909,60","R$ 1.691.127,70","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),2,2013,2014,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",2,0,Fuji Dream,São José dos Campos,Japão,18506,4074,4,"R$ 262.126,40","R$ 601.956,00","R$ 101.209,92","R$ 267.951,43","R$ 524.252,80","R$ 202.419,83","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),5,2017,2018,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",5,0,GECAS,São José dos Campos,EUA,8490,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 74.258,66","R$ 160.770,86","R$ 786.379,21","R$ 371.293,31","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),41,2023,2023,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",50,9,Horizon Air,São José dos Campos,EUA,8490,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 153.738,88","R$ 160.770,86","R$ 14.808.117,60","R$ 6.303.294,17","R$ 3.250.562,40","R$ 1.446.937,74"
Aviação Comercial,EMBRAER 175 (E175),17,2023,2023,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",17,0,KLM,São José dos Campos,Países Baixos,9731,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 153.738,88","R$ 160.770,86","R$ 6.139.951,20","R$ 2.613.561,00","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),12,2008,2009,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,05","R$ 4,60",12,0,LOT Polish,São José dos Campos,Polônia,10454,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 36.806,04","R$ 160.770,86","R$ 1.887.310,09","R$ 441.672,50","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),2,2018,2019,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",2,0,Mauritânia Airlines,São José dos Campos,Mauritânia,6203,4074,1,"R$ 104.850,56","R$ 240.782,40","R$ 54.808,88","R$ 107.180,57","R$ 209.701,12","R$ 109.617,77","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),7,2022,2023,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",7,0,Mesa,São José dos Campos,EUA,8490,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 153.738,88","R$ 160.770,86","R$ 2.528.215,20","R$ 1.076.172,17","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),2,2010,2011,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,61","R$ 4,60",2,0,NAC / Aldus,São José dos Campos,Irlanda,9254,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 56.318,73","R$ 160.770,86","R$ 314.551,68","R$ 112.637,46","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),4,2020,2021,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",4,0,NAC / Jetscape,São José dos Campos,EUA,8490,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 129.654,71","R$ 160.770,86","R$ 1.444.694,40","R$ 518.618,83","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),36,2019,2020,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",36,0,Northwest,São José dos Campos,EUA,8490,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 69.851,44","R$ 160.770,86","R$ 13.002.249,60","R$ 2.514.651,97","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),5,2016,2017,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",5,0,Oman Air,São José dos Campos,Omã,12076,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 63.120,04","R$ 160.770,86","R$ 786.379,21","R$ 315.600,19","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),1,2017,2018,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",3,2,Overland Airways,São José dos Campos,Nigéria,6930,4074,1,"R$ 104.850,56","R$ 240.782,40","R$ 49.505,77","R$ 107.180,57","R$ 104.850,56","R$ 49.505,77","R$ 481.564,80","R$ 214.361,15"
Aviação Comercial,EMBRAER 175 (E175),136,2006,2007,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,41","R$ 4,60",187,51,Republic Airlines,São José dos Campos,EUA,8490,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 49.202,87","R$ 160.770,86","R$ 21.389.514,38","R$ 6.691.590,74","R$ 18.419.853,60","R$ 8.199.313,85"
Aviação Comercial,EMBRAER 175 (E175),2,2017,2018,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",2,0,Royal Jordanian,São José dos Campos,Jordânia,10590,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 74.258,66","R$ 160.770,86","R$ 314.551,68","R$ 148.517,32","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),205,2020,2021,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",228,23,Skywest,São José dos Campos,EUA,8490,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 129.654,71","R$ 160.770,86","R$ 74.040.588,00","R$ 26.579.215,21","R$ 8.306.992,80","R$ 3.697.729,77"
Aviação Comercial,EMBRAER 175 (E175),11,2005,2006,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 1,17","R$ 4,60",11,0,Suzuyo,São José dos Campos,Japão,18506,4074,4,"R$ 262.126,40","R$ 601.956,00","R$ 68.193,64","R$ 267.951,43","R$ 2.883.390,42","R$ 750.130,04","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),5,2023,2023,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",5,0,TRIP,São José dos Campos,Brasil,124,4074,0,"R$ 52.425,28","R$ 120.391,20","R$ 51.246,29","R$ 53.590,29","R$ 601.956,00","R$ 256.231,47","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 175 (E175),0,2019,2020,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",4,4,Clientes não divulgados,São José dos Campos,Clientes não divulgados,1000,4074,0,"R$ 52.425,28","R$ 120.391,20","R$ 23.283,81","R$ 53.590,29","R$ 0,00","R$ 0,00","R$ 481.564,80","R$ 214.361,15"
Aviação Comercial,EMBRAER 175 (E175),110,2017,2018,2,11650,21.810,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",110,0,United Airlines,São José dos Campos,EUA,8490,4074,2,"R$ 157.275,84","R$ 361.173,60","R$ 74.258,66","R$ 160.770,86","R$ 17.300.342,52","R$ 8.168.452,83","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),5,2014,2015,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",5,0,Aero Republica,São José dos Campos,Colômbia,4362,4537,0,"R$ 72.689,29","R$ 155.001,60","R$ 25.867,70","R$ 74.304,61","R$ 363.446,45","R$ 129.338,48","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),12,2005,2006,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,17","R$ 4,60",12,0,Aeromexico,São José dos Campos,México,8030,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 37.821,05","R$ 148.609,22","R$ 1.744.542,96","R$ 453.852,54","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),2,2007,2008,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,29","R$ 4,60",2,0,Air Astana,São José dos Campos,Cazaquistão,13569,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 62.721,17","R$ 222.913,82","R$ 436.135,74","R$ 125.442,33","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),45,2009,2010,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,20","R$ 4,60",45,0,Air Canada,São José dos Campos,Canadá,10478,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 58.296,81","R$ 222.913,82","R$ 9.813.054,18","R$ 2.623.356,48","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),1,2011,2012,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,83","R$ 4,60",1,0,Air Caraibes,São José dos Campos,Guadalupe,4706,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 59.149,70","R$ 148.609,22","R$ 145.378,58","R$ 59.149,70","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),23,2016,2017,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",23,0,Air Lease,São José dos Campos,EUA,8490,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 58.345,27","R$ 148.609,22","R$ 3.343.707,35","R$ 1.341.941,22","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),1,2016,2017,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",1,0,Air Moldova,São José dos Campos,Moldávia,10777,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 87.517,91","R$ 222.913,82","R$ 218.067,87","R$ 87.517,91","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),2,2010,2011,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,61","R$ 4,60",2,0,Augsburg,São José dos Campos,Alemanha,9923,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 78.087,68","R$ 222.913,82","R$ 436.135,74","R$ 156.175,36","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),22,2013,2014,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",22,0,Austral,São José dos Campos,Argentina,2386,4537,0,"R$ 72.689,29","R$ 155.001,60","R$ 28.066,14","R$ 74.304,61","R$ 1.599.164,38","R$ 617.455,14","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),4,2019,2020,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",4,0,AZAL,São José dos Campos,Azerbaijão,11919,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 96.851,21","R$ 222.913,82","R$ 1.860.019,20","R$ 387.404,84","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),5,2011,2012,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,83","R$ 4,60",5,0,Azul,São José dos Campos,Brasil,124,4537,0,"R$ 72.689,29","R$ 155.001,60","R$ 29.574,85","R$ 74.304,61","R$ 363.446,45","R$ 147.874,25","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),9,2012,2013,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",9,0,BA CityFlyer,São José dos Campos,Reino Unido,9614,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 95.596,11","R$ 222.913,82","R$ 1.962.610,84","R$ 860.364,98","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),14,2015,2016,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,48","R$ 4,60",14,0,BOC Aviation,São José dos Campos,Singapura,15933,4537,3,"R$ 290.757,16","R$ 620.006,40","R$ 95.678,49","R$ 297.218,43","R$ 4.070.600,25","R$ 1.339.498,86","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),20,2006,2007,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,41","R$ 4,60",20,0,China Southern,São José dos Campos,China,16805,4537,3,"R$ 290.757,16","R$ 620.006,40","R$ 90.961,76","R$ 297.218,43","R$ 5.815.143,22","R$ 1.819.235,25","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),3,2016,2017,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",3,0,CIAF,São José dos Campos,Egito,9932,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 87.517,91","R$ 222.913,82","R$ 654.203,61","R$ 262.553,72","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),7,2022,2023,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",7,0,CIT,São José dos Campos,EUA,8490,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 142.109,18","R$ 148.609,22","R$ 2.170.022,40","R$ 994.764,24","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),16,2006,2007,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,41","R$ 4,60",16,0,Conviasa,São José dos Campos,Venezuela,3988,4537,0,"R$ 72.689,29","R$ 155.001,60","R$ 22.740,44","R$ 74.304,61","R$ 1.163.028,64","R$ 363.847,05","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),15,2006,2007,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,41","R$ 4,60",15,0,Copa,São José dos Campos,Panamá,5180,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 45.480,88","R$ 148.609,22","R$ 2.180.678,71","R$ 682.213,22","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),5,2011,2012,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,83","R$ 4,60",5,0,Dniproavia,São José dos Campos,Ucrânia,11012,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 88.724,55","R$ 222.913,82","R$ 1.090.339,35","R$ 443.622,74","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),1,2012,2013,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",1,0,ECC Leasing,São José dos Campos,Irlanda,9254,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 95.596,11","R$ 222.913,82","R$ 218.067,87","R$ 95.596,11","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),12,2022,2023,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",12,0,Finnair,São José dos Campos,Finlândia,11359,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 213.163,77","R$ 222.913,82","R$ 5.580.057,60","R$ 2.557.965,20","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),27,2010,2011,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,61","R$ 4,60",27,0,GECAS,São José dos Campos,EUA,8490,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 52.058,45","R$ 148.609,22","R$ 3.925.221,67","R$ 1.405.578,27","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),9,2014,2015,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",9,0,Guizhou Colorful,São José dos Campos,China,16805,4537,3,"R$ 290.757,16","R$ 620.006,40","R$ 103.470,78","R$ 297.218,43","R$ 2.616.814,45","R$ 931.237,03","R$ 0,00","R$ 0,00"
