Segmento,Modelo do Avião,Quantidade entregue,Ano de fabricação,Ano de entrega,Quantidade de Motores,Tamanho do tanque (litros),Peso do avião vazio ,Custo de combustível - AVGAS (pré pandemia),Custo de combustível AVGAS (pós pandemia),Custo de combustível - querosene ,Custo de combustível - querosene (póspandemia),Cliente,Origem,Destino,Distância (km),Autonomia (km),Parada para reabastecer,Frete (pre pandemia - AVGAS) ,Frete (pos pandemia - AVGAS),Frete - QAV,Frete (pos pandemia - QAV),Custo total AVGAs,Custo total QAV
Aviação Comercial,EMBRAER 195 (E195),3,2012,2013,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Porter,São José dos Campos,Canadá,10478,4260,2,"R$ 218.067,87","R$ 267.496,59","R$ 95.596,11","R$ 222.913,82","R$ 654.203,61","R$ 286.788,33"
Aviação Comercial,EMBRAER 195 (E195),6,2012,2013,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",LAM,São José dos Campos,Moçambique,8353,4260,1,"R$ 145.378,58","R$ 178.331,06","R$ 63.730,74","R$ 148.609,22","R$ 872.271,48","R$ 382.384,43"
Aviação Comercial,EMBRAER 195 (E195),8,2012,2013,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",LAM,São José dos Campos,Moçambique,8353,4260,1,"R$ 145.378,58","R$ 178.331,06","R$ 63.730,74","R$ 148.609,22","R$ 1.163.028,64","R$ 509.845,91"
Aviação Executiva,Phenom 100,23,2012,2013,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",TRIP,São José dos Campos,Brasil,124,2182,0,"R$ 9.666,87","R$ 11.858,03","R$ 4.237,74","R$ 9.881,69","R$ 222.338,11","R$ 97.468,09"
Aviação Executiva,Phenom 100,4,2012,2013,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Salam Air,São José dos Campos,Omã,12076,2182,5,"R$ 58.001,25","R$ 71.148,19","R$ 25.426,46","R$ 59.290,16","R$ 232.004,98","R$ 101.705,83"
Aviação Executiva,Phenom 100,1,2012,2013,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Aurigny,São José dos Campos,Guernesei,9138,2182,4,"R$ 48.334,37","R$ 59.290,16","R$ 21.188,71","R$ 49.408,47","R$ 48.334,37","R$ 21.188,71"
Aviação Executiva,Phenom 100,1,2012,2013,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Dniproavia,São José dos Campos,Ucrânia,11012,2182,5,"R$ 58.001,25","R$ 71.148,19","R$ 25.426,46","R$ 59.290,16","R$ 58.001,25","R$ 25.426,46"
Aviação Executiva,Phenom 100,1,2012,2013,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Porter,São José dos Campos,Canadá,10478,2182,4,"R$ 48.334,37","R$ 59.290,16","R$ 21.188,71","R$ 49.408,47","R$ 48.334,37","R$ 21.188,71"
Aviação Executiva,Phenom 300,52,2012,2013,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Air Moldova,São José dos Campos,Moldávia,10777,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 13.686,07","R$ 31.913,57","R$ 1.623.429,64","R$ 711.675,48"
Aviação Executiva,Phenom 300,1,2012,2013,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",BOC Aviation,São José dos Campos,Singapura,15933,3650,4,"R$ 52.033,00","R$ 63.827,15","R$ 22.810,11","R$ 53.189,29","R$ 52.033,00","R$ 22.810,11"
Aviação Executiva,Phenom 300,7,2012,2013,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Luxair,São José dos Campos,Luxemburgo,9595,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 13.686,07","R$ 31.913,57","R$ 218.538,60","R$ 95.802,47"
Aviação Executiva,Legacy 650,14,2012,2013,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Wideroe,São José dos Campos,Noruega,10506,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 88.857,48","R$ 207.200,50","R$ 2.837.745,96","R$ 1.244.004,77"
Aviação Executiva,Legacy 650,5,2012,2013,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Skywest,São José dos Campos,EUA,8490,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 88.857,48","R$ 207.200,50","R$ 1.013.480,70","R$ 444.287,42"
Aviação Executiva,Legacy 650,3,2012,2013,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Kenya Airways,São José dos Campos,Quênia,9367,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 88.857,48","R$ 207.200,50","R$ 608.088,42","R$ 266.572,45"
Aviação Executiva,Legacy 650,3,2012,2013,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Virgin Nigeria,São José dos Campos,Nigéria,6930,7223,0,"R$ 101.348,07","R$ 124.320,30","R$ 44.428,74","R$ 103.600,25","R$ 304.044,21","R$ 133.286,22"
Aviação Executiva,Lineage 1000,3,2012,2013,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Kenya Airways,São José dos Campos,Quênia,9367,8334,1,"R$ 202.696,14","R$ 248.640,60","R$ 88.857,48","R$ 207.200,50","R$ 608.088,42","R$ 266.572,45"
Aviação Executiva,Lineage 1000,1,2012,2013,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Air Moldova,São José dos Campos,Moldávia,10777,8334,1,"R$ 202.696,14","R$ 248.640,60","R$ 88.857,48","R$ 207.200,50","R$ 202.696,14","R$ 88.857,48"
Aviação Comercial,EMBRAER 170 (E170),1,2013,2014,2,11625,21140,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",KLM,São José dos Campos,Países Baixos,9731,3982,2,"R$ 156.939,60","R$ 192.512,58","R$ 60.596,12","R$ 160.427,15","R$ 156.939,60","R$ 60.596,12"
Aviação Comercial,EMBRAER 175 (E175),12,2013,2014,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Conviasa,São José dos Campos,Venezuela,3988,4074,0,"R$ 52.425,28","R$ 64.308,34","R$ 20.241,98","R$ 53.590,29","R$ 629.103,36","R$ 242.903,80"
Aviação Comercial,EMBRAER 175 (E175),44,2013,2014,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Salam Air,São José dos Campos,Omã,12076,4074,2,"R$ 157.275,84","R$ 192.925,03","R$ 60.725,95","R$ 160.770,86","R$ 6.920.137,01","R$ 2.671.941,79"
Aviação Comercial,EMBRAER 175 (E175),1,2013,2014,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Belavia,São José dos Campos,Bielorrússia,11066,4074,2,"R$ 157.275,84","R$ 192.925,03","R$ 60.725,95","R$ 160.770,86","R$ 157.275,84","R$ 60.725,95"
Aviação Comercial,EMBRAER 175 (E175),3,2013,2014,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Austral,São José dos Campos,Argentina,2386,4074,0,"R$ 52.425,28","R$ 64.308,34","R$ 20.241,98","R$ 53.590,29","R$ 157.275,84","R$ 60.725,95"
Aviação Comercial,EMBRAER 175 (E175),2,2013,2014,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Air Canada,São José dos Campos,Canadá,10478,4074,2,"R$ 157.275,84","R$ 192.925,03","R$ 60.725,95","R$ 160.770,86","R$ 314.551,68","R$ 121.451,90"
Aviação Comercial,EMBRAER 190 (E190),16,2013,2014,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Royal Jordanian,São José dos Campos,Jordânia,10590,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 84.198,43","R$ 222.913,82","R$ 3.489.085,93","R$ 1.347.174,85"
Aviação Comercial,EMBRAER 190 (E190),1,2013,2014,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Alitalia,São José dos Campos,Itália,9397,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 84.198,43","R$ 222.913,82","R$ 218.067,87","R$ 84.198,43"
Aviação Comercial,EMBRAER 190 (E190),1,2013,2014,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Kenya Airways,São José dos Campos,Quênia,9367,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 84.198,43","R$ 222.913,82","R$ 218.067,87","R$ 84.198,43"
Aviação Comercial,EMBRAER 190 (E190),1,2013,2014,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Dniproavia,São José dos Campos,Ucrânia,11012,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 84.198,43","R$ 222.913,82","R$ 218.067,87","R$ 84.198,43"
Aviação Comercial,EMBRAER 195 (E195),6,2013,2014,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Copa,São José dos Campos,Panamá,5180,4260,1,"R$ 145.378,58","R$ 178.331,06","R$ 56.132,29","R$ 148.609,22","R$ 872.271,48","R$ 336.793,71"
Aviação Comercial,EMBRAER 195 (E195),4,2013,2014,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Aeromexico,São José dos Campos,México,8030,4260,1,"R$ 145.378,58","R$ 178.331,06","R$ 56.132,29","R$ 148.609,22","R$ 581.514,32","R$ 224.529,14"
Aviação Executiva,Phenom 100,12,2013,2014,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Alitalia,São José dos Campos,Itália,9397,2182,4,"R$ 48.334,37","R$ 59.290,16","R$ 18.662,44","R$ 49.408,47","R$ 580.012,45","R$ 223.949,25"
Aviação Executiva,Phenom 100,6,2013,2014,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",BOC Aviation,São José dos Campos,Singapura,15933,2182,7,"R$ 77.334,99","R$ 94.864,26","R$ 29.859,90","R$ 79.053,55","R$ 464.009,96","R$ 179.159,40"
Aviação Executiva,Phenom 100,1,2013,2014,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Oman Air,São José dos Campos,Omã,12076,2182,5,"R$ 58.001,25","R$ 71.148,19","R$ 22.394,93","R$ 59.290,16","R$ 58.001,25","R$ 22.394,93"
Aviação Executiva,Phenom 300,55,2013,2014,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Overland Airways,São José dos Campos,Nigéria,6930,3650,1,"R$ 20.813,20","R$ 25.530,86","R$ 8.036,21","R$ 21.275,72","R$ 1.144.726,03","R$ 441.991,44"
Aviação Executiva,Phenom 300,9,2013,2014,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",BA CityFlyer,São José dos Campos,Reino Unido,9614,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 12.054,31","R$ 31.913,57","R$ 280.978,21","R$ 108.488,81"
Aviação Executiva,Phenom 300,2,2013,2014,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",ECC Leasing,São José dos Campos,Irlanda,9254,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 12.054,31","R$ 31.913,57","R$ 62.439,60","R$ 24.108,62"
Aviação Executiva,Phenom 300,2,2013,2014,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",KLM,São José dos Campos,Países Baixos,9731,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 12.054,31","R$ 31.913,57","R$ 62.439,60","R$ 24.108,62"
Aviação Executiva,Phenom 300,2,2013,2014,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Porter,São José dos Campos,Canadá,10478,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 12.054,31","R$ 31.913,57","R$ 62.439,60","R$ 24.108,62"
Aviação Executiva,Phenom 300,1,2013,2014,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Conviasa,São José dos Campos,Venezuela,3988,3650,1,"R$ 20.813,20","R$ 25.530,86","R$ 8.036,21","R$ 21.275,72","R$ 20.813,20","R$ 8.036,21"
Aviação Executiva,Phenom 300,1,2013,2014,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Royal Jordanian,São José dos Campos,Jordânia,10590,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 12.054,31","R$ 31.913,57","R$ 31.219,80","R$ 12.054,31"
Aviação Executiva,Phenom 300,1,2013,2014,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Salam Air,São José dos Campos,Omã,12076,3650,3,"R$ 41.626,40","R$ 51.061,72","R$ 16.072,42","R$ 42.551,43","R$ 41.626,40","R$ 16.072,42"
Aviação Executiva,Legacy 500,1,2013,2014,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",JAL,São José dos Campos,Japão,18506,5790,3,"R$ 405.392,28","R$ 497.281,20","R$ 156.526,46","R$ 414.401,00","R$ 405.392,28","R$ 156.526,46"
Aviação Executiva,Legacy 500,2,2013,2014,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Porter,São José dos Campos,Canadá,10478,5790,1,"R$ 202.696,14","R$ 248.640,60","R$ 78.263,23","R$ 207.200,50","R$ 405.392,28","R$ 156.526,46"
Aviação Executiva,Legacy 650,13,2013,2014,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Arkia,São José dos Campos,Israel,10490,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 78.263,23","R$ 207.200,50","R$ 2.635.049,82","R$ 1.017.422,01"
Aviação Executiva,Legacy 650,2,2013,2014,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Air Kiribati,São José dos Campos,Quiribáti,12272,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 78.263,23","R$ 207.200,50","R$ 405.392,28","R$ 156.526,46"
Aviação Executiva,Legacy 650,2,2013,2014,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Belavia,São José dos Campos,Bielorrússia,11066,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 78.263,23","R$ 207.200,50","R$ 405.392,28","R$ 156.526,46"
Aviação Executiva,Legacy 650,1,2013,2014,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Aero Republica,São José dos Campos,Colômbia,4362,7223,0,"R$ 101.348,07","R$ 124.320,30","R$ 39.131,62","R$ 103.600,25","R$ 101.348,07","R$ 39.131,62"
Aviação Executiva,Lineage 1000,2,2013,2014,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",LOT Polish,São José dos Campos,Polônia,10454,8334,1,"R$ 202.696,14","R$ 248.640,60","R$ 78.263,23","R$ 207.200,50","R$ 405.392,28","R$ 156.526,46"
Aviação Executiva,Lineage 1000,1,2013,2014,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Austral,São José dos Campos,Argentina,2386,8334,0,"R$ 101.348,07","R$ 124.320,30","R$ 39.131,62","R$ 103.600,25","R$ 101.348,07","R$ 39.131,62"
Aviação Comercial,EMBRAER 170 (E170),2,2014,2015,2,11625,21140,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Air Moldova,São José dos Campos,Moldávia,10777,3982,2,"R$ 156.939,60","R$ 192.512,58","R$ 55.849,57","R$ 160.427,15","R$ 313.879,20","R$ 111.699,15"
Aviação Comercial,EMBRAER 175 (E175),57,2014,2015,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Air Moldova,São José dos Campos,Moldávia,10777,4074,2,"R$ 157.275,84","R$ 192.925,03","R$ 55.969,23","R$ 160.770,86","R$ 8.964.722,94","R$ 3.190.246,07"
Aviação Comercial,EMBRAER 175 (E175),22,2014,2015,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",NIKI,São José dos Campos,Áustria,9903,4074,2,"R$ 157.275,84","R$ 192.925,03","R$ 55.969,23","R$ 160.770,86","R$ 3.460.068,50","R$ 1.231.323,04"
Aviação Comercial,EMBRAER 175 (E175),1,2014,2015,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Aero Republica,São José dos Campos,Colômbia,4362,4074,1,"R$ 104.850,56","R$ 128.616,69","R$ 37.312,82","R$ 107.180,57","R$ 104.850,56","R$ 37.312,82"
Aviação Comercial,EMBRAER 175 (E175),1,2014,2015,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Aeromexico,São José dos Campos,México,8030,4074,1,"R$ 104.850,56","R$ 128.616,69","R$ 37.312,82","R$ 107.180,57","R$ 104.850,56","R$ 37.312,82"
Aviação Comercial,EMBRAER 175 (E175),1,2014,2015,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Air Canada,São José dos Campos,Canadá,10478,4074,2,"R$ 157.275,84","R$ 192.925,03","R$ 55.969,23","R$ 160.770,86","R$ 157.275,84","R$ 55.969,23"
Aviação Comercial,EMBRAER 190 (E190),7,2014,2015,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Kenya Airways,São José dos Campos,Quênia,9367,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 77.603,09","R$ 222.913,82","R$ 1.526.475,09","R$ 543.221,60"
Aviação Comercial,EMBRAER 190 (E190),1,2014,2015,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Augsburg,São José dos Campos,Alemanha,9923,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 77.603,09","R$ 222.913,82","R$ 218.067,87","R$ 77.603,09"
Aviação Comercial,EMBRAER 195 (E195),4,2014,2015,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Airnorth,São José dos Campos,Austrália,14613,4260,3,"R$ 290.757,16","R$ 356.662,12","R$ 103.470,78","R$ 297.218,43","R$ 1.163.028,64","R$ 413.883,13"
Aviação Comercial,EMBRAER 195 (E195),5,2014,2015,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Alitalia,São José dos Campos,Itália,9397,4260,2,"R$ 218.067,87","R$ 267.496,59","R$ 77.603,09","R$ 222.913,82","R$ 1.090.339,35","R$ 388.015,43"
Aviação Executiva,Phenom 100,10,2014,2015,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Aero Republica,São José dos Campos,Colômbia,4362,2182,1,"R$ 19.333,75","R$ 23.716,06","R$ 6.880,24","R$ 19.763,39","R$ 193.337,48","R$ 68.802,37"
Aviação Executiva,Phenom 300,51,2014,2015,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",EgyptAir,São José dos Campos,Egito,9932,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 11.110,09","R$ 31.913,57","R$ 1.592.209,84","R$ 566.614,41"
Aviação Executiva,Phenom 300,1,2014,2015,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Lufthansa,São José dos Campos,Alemanha,9923,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 11.110,09","R$ 31.913,57","R$ 31.219,80","R$ 11.110,09"
Aviação Executiva,Phenom 300,10,2014,2015,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Aero Republica,São José dos Campos,Colômbia,4362,3650,1,"R$ 20.813,20","R$ 25.530,86","R$ 7.406,72","R$ 21.275,72","R$ 208.132,00","R$ 74.067,24"
Aviação Executiva,Phenom 300,5,2014,2015,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Arkia,São José dos Campos,Israel,10490,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 11.110,09","R$ 31.913,57","R$ 156.099,00","R$ 55.550,43"
Aviação Executiva,Phenom 300,1,2014,2015,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Air Caraibes,São José dos Campos,Guadalupe,4706,3650,1,"R$ 20.813,20","R$ 25.530,86","R$ 7.406,72","R$ 21.275,72","R$ 20.813,20","R$ 7.406,72"
Aviação Executiva,Phenom 300,1,2014,2015,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Aercap,São José dos Campos,Irlanda,9254,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 11.110,09","R$ 31.913,57","R$ 31.219,80","R$ 11.110,09"
Aviação Executiva,Phenom 300,1,2014,2015,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Air Kiribati,São José dos Campos,Quiribáti,12272,3650,3,"R$ 41.626,40","R$ 51.061,72","R$ 14.813,45","R$ 42.551,43","R$ 41.626,40","R$ 14.813,45"
Aviação Executiva,Phenom 100E,1,2014,2015,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Taca,São José dos Campos,El Salvador,6227,2182,2,"R$ 29.000,62","R$ 35.574,10","R$ 10.320,35","R$ 29.645,08","R$ 29.000,62","R$ 10.320,35"
Aviação Executiva,Phenom 100E,1,2014,2015,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Air Moldova,São José dos Campos,Moldávia,10777,2182,4,"R$ 48.334,37","R$ 59.290,16","R$ 17.200,59","R$ 49.408,47","R$ 48.334,37","R$ 17.200,59"
Aviação Executiva,Legacy 450,1,2014,2015,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",EgyptAir,São José dos Campos,Egito,9932,5790,1,"R$ 202.696,14","R$ 248.640,60","R$ 72.132,80","R$ 207.200,50","R$ 202.696,14","R$ 72.132,80"
Aviação Executiva,Legacy 450,2,2014,2015,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Finnair,São José dos Campos,Finlândia,11359,5790,1,"R$ 202.696,14","R$ 248.640,60","R$ 72.132,80","R$ 207.200,50","R$ 405.392,28","R$ 144.265,60"
Aviação Executiva,Legacy 500,17,2014,2015,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Virgin Australia,São José dos Campos,Austrália,14613,5790,2,"R$ 304.044,21","R$ 372.960,90","R$ 108.199,20","R$ 310.800,75","R$ 5.168.751,56","R$ 1.839.386,39"
Aviação Executiva,Legacy 500,3,2014,2015,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Arkia,São José dos Campos,Israel,10490,5790,1,"R$ 202.696,14","R$ 248.640,60","R$ 72.132,80","R$ 207.200,50","R$ 608.088,42","R$ 216.398,40"
Aviação Executiva,Legacy 650,4,2014,2015,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",NIKI,São José dos Campos,Áustria,9903,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 72.132,80","R$ 207.200,50","R$ 810.784,56","R$ 288.531,20"
Aviação Executiva,Legacy 650,7,2014,2015,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Aurigny,São José dos Campos,Guernesei,9138,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 72.132,80","R$ 207.200,50","R$ 1.418.872,98","R$ 504.929,60"
Aviação Executiva,Legacy 650,1,2014,2015,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",LOT Polish,São José dos Campos,Polônia,10454,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 72.132,80","R$ 207.200,50","R$ 202.696,14","R$ 72.132,80"
